Id,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zipcode
21311,Installed,CITY,Manhattan,999165,230639,40.7997141,-73.9461292,10029
21310,Approved,CITY,Manhattan,1002200,231039,40.8008064,-73.9351661,10035
21309,Approved,CITY,Manhattan,1001279,229379,40.796252,-73.9384969,10029
21308,Approved,CITY,Manhattan,1001795,230143,40.7983479,-73.9366313,10035
21307,Installed,CITY,Manhattan,1000742,238873,40.8223114,-73.9404131,10039
21306,Approved,CITY,Manhattan,1000834,239083,40.8228876,-73.9400801,10039
21305,Approved,CITY,Manhattan,983953,213140,40.7516966,-74.0010719,10001
21304,Approved,CITY,Manhattan,1000963,239301,40.8234857,-73.9396135,10039
21303,Installed,CITY,Manhattan,1001466,239382,40.823707,-73.9377959,10039
21302,Installed,CITY,Manhattan,1001879,238797,40.8221006,-73.9363052,10039
21301,Installed,CITY,Manhattan,1002133,238534,40.8213782,-73.9353882,10039
21300,Approved,CITY,Manhattan,999817,237267,40.817905,-73.9437589,10030
21299,Installed,CITY,Manhattan,1000173,239105,40.8229492,-73.9424684,10030
21298,Approved,CITY,Manhattan,1001802,239758,40.8247384,-73.9365809,10039
21297,Installed,CITY,Manhattan,1001933,240714,40.8273621,-73.936105,10039
21296,Approved,CITY,Bronx,1010820,238170,40.8203573,-73.9040032,10456
21295,Approved,CITY,Bronx,1010923,236224,40.8150157,-73.9036388,10455
21282,Proposed,CITY,Bronx,1014530,252980,40.8609944,-73.8905323,10458
21281,Approved,CITY,Manhattan,985364,214290,40.754853,-73.9959791,10018
21280,Approved,CITY,Manhattan,981242,199923,40.7154186,-74.0108507,10007
21279,Approved,CITY,Bronx,1025440,254764,40.8658468,-73.8510797,10469
21277,Proposed,UTILITY,Brooklyn,1008603,194563,40.7006737,-73.9121712,11237
21276,Approved,CITY,Manhattan,983998,213398,40.7524047,-74.0009095,10001
21275,Proposed,CITY,Manhattan,983585,205255,40.7300542,-74.0023994,10014
21274,Proposed,CITY,Bronx,1015849,252222,40.8589093,-73.8857674,10458
21273,Proposed,CITY,Manhattan,985853,204931,40.7291648,-73.9942163,10003
21272,Proposed,CITY,Bronx,1014428,253310,40.8619005,-73.8908995,10458
21271,Approved,CITY,Bronx,1005769,238303,40.8207361,-73.9222519,10451
21270,Approved,CITY,Manhattan,984479,205314,40.7302161,-73.9991737,10012
21269,Approved,CITY,Bronx,1010732,256248,40.8699763,-73.9042498,10463
21267,Proposed,CITY,Manhattan,983271,201566,40.7199287,-74.0035318,10013
21266,Approved,CITY,Manhattan,982786,200339,40.7165609,-74.0052812,10007
21265,Proposed,CITY,Bronx,1004097,239649,40.8244344,-73.9282889,10451
21264,Proposed,CITY,Bronx,1006011,240222,40.8260026,-73.9213714,10451
21263,Proposed,CITY,Bronx,1003862,241432,40.8293287,-73.9291328,10451
21262,Approved,CITY,Bronx,1014855,257409,40.8731496,-73.8893371,10468
21261,Approved,CITY,Bronx,1014533,255030,40.866621,-73.8905121,10458
21260,Proposed,CITY,Manhattan,994443,235211,40.8122697,-73.9631774,10027
21259,Proposed,CITY,Bronx,1014258,254029,40.8638745,-73.8915109,10458
21258,Approved,CITY,Bronx,1005956,243094,40.8338855,-73.9215608,10452
21257,Proposed,CITY,Manhattan,994176,234717,40.8109141,-73.9641427,10115
21256,Approved,CITY,Bronx,1006913,244353,40.8373387,-73.9180982,10452
21255,Approved,CITY,Manhattan,980690,199795,40.7150671,-74.0128419,10007
21254,Proposed,CITY,Bronx,1014186,255925,40.8690787,-73.8917627,10458
21253,Proposed,CITY,Manhattan,993169,232946,40.8060543,-73.9677828,10025
21252,Proposed,CITY,Bronx,1003578,240554,40.8269195,-73.9301615,10451
21250,Approved,CITY,Bronx,1003767,238302,40.820738,-73.9294852,10451
21249,Approved,CITY,Bronx,1013924,252691,40.8602033,-73.8927243,10458
21246,Approved,CITY,Bronx,1005258,238676,40.8217611,-73.924097,10451
21245,Approved,CITY,Manhattan,987187,207124,40.7351837,-73.9894023,10003
21244,Proposed,CITY,Manhattan,983101,202014,40.7211584,-74.0041451,10013
21243,Approved,CITY,Bronx,1004347,238588,40.8215217,-73.9273888,10451
21242,Approved,CITY,Bronx,1004064,238017,40.8199551,-73.9284129,10451
21241,Approved,CITY,Bronx,1003970,239162,40.823098,-73.9287492,10451
21240,Proposed,CITY,Manhattan,983905,205786,40.7315117,-74.0012448,10014
21239,Approved,CITY,Manhattan,985787,207071,40.7350385,-73.994454,10011
21238,Approved,CITY,Bronx,1006117,240528,40.8268422,-73.9209874,10451
21237,Approved,CITY,Manhattan,987193,205416,40.7304956,-73.9893814,10003
21236,Proposed,CITY,Manhattan,982228,200419,40.7167803,-74.0072941,10013
21235,Approved,CITY,Manhattan,981471,200363,40.7166264,-74.0100248,10013
21234,Approved,CITY,Manhattan,981417,200148,40.7160363,-74.0102195,10013
21233,Approved,CITY,Bronx,1013591,253835,40.8633443,-73.8939232,10458
21232,Proposed,CITY,Manhattan,984542,203623,40.7255748,-73.9989465,10012
21231,Proposed,CITY,Manhattan,984396,202932,40.7236781,-73.9994733,10012
21230,Approved,CITY,Bronx,1014815,258822,40.8770279,-73.8894753,10468
21229,Proposed,CITY,Manhattan,982007,199794,40.7150648,-74.0080911,10013
21228,Proposed,CITY,Bronx,1015625,258035,40.874865,-73.88655,10468
21226,Approved,CITY,Bronx,1017608,256215,40.8698624,-73.8793886,10467
21223,Approved,CITY,Bronx,1014366,253571,40.8626171,-73.8911225,10458
21222,Proposed,CITY,Manhattan,992062,230959,40.8006016,-73.9717838,10024
21221,Approved,CITY,Bronx,1004486,242087,40.8311251,-73.926876,10452
21220,Approved,CITY,Bronx,1027154,245266,40.8397695,-73.8449436,10461
21219,Proposed,CITY,Manhattan,1003838,249193,40.8506304,-73.9291968,10033
21217,Approved,CITY,Manhattan,1001718,239835,40.8249499,-73.9368842,10039
21216,Proposed,UTILITY,Queens,1022801,189999,40.6880961,-73.8609924,11421
21214,Approved,CITY,Manhattan,983413,213615,40.7530003,-74.003021,10001
21213,Approved,CITY,Manhattan,984513,213887,40.7537469,-73.9990507,10001
21212,Proposed,CITY,Manhattan,984145,213651,40.7530991,-74.000379,10001
21210,Installed,UTILITY,Bronx,1022068,257106,40.87229,-73.8632578,10467
21209,Approved,CITY,Manhattan,985692,212568,40.7501265,-73.9947956,10001
21208,Proposed,CITY,Manhattan,983901,215093,40.757057,-74.0012597,10001
21207,Approved,CITY,Manhattan,984963,212249,40.749251,-73.9974267,10001
21206,Approved,CITY,Manhattan,983675,212817,40.75081,-74.0020753,10001
21205,Installed,CITY,Bronx,1020337,252960,40.8609177,-73.869539,10467
21202,Installed,CITY,Bronx,1007835,248117,40.8476674,-73.914753,10453
21201,Approved,CITY,Bronx,1013122,251946,40.8581611,-73.8956269,10458
21199,Installed,CITY,Bronx,1011721,249170,40.8505463,-73.9007029,10457
21198,Approved,CITY,Bronx,1011131,248870,40.8497247,-73.9028367,10457
21196,Approved,CITY,Bronx,1018088,246845,40.8441428,-73.8777004,10460
21194,Approved,CITY,Bronx,1005593,245529,40.8405698,-73.9228648,10452
21193,Installed,CITY,Bronx,1006693,244464,40.8376439,-73.9188929,10452
21192,Approved,CITY,Bronx,1006947,243946,40.8362215,-73.9179767,10452
21190,Approved,CITY,Bronx,1005726,239720,40.8246254,-73.9224028,10451
21189,Approved,CITY,Bronx,1013755,238129,40.8202354,-73.8933994,10459
21188,Approved,CITY,Bronx,1021754,245323,40.8399505,-73.864459,10460
21183,Installed,CITY,Bronx,1024662,241887,40.8305069,-73.8539701,10472
21178,Installed,CITY,Bronx,1021194,244493,40.8376748,-73.8664875,10460
21172,Approved,CITY,Bronx,1017611,258108,40.8750581,-73.8793684,10467
21168,Approved,CITY,Manhattan,994170,230063,40.7981402,-73.9641713,10025
21166,Approved,CITY,Manhattan,994470,232289,40.8042496,-73.9630843,10025
21164,Approved,CITY,Manhattan,1003295,250071,40.8530415,-73.9311571,10033
21159,Approved,CITY,Manhattan,984559,210524,40.7445163,-73.9988849,10011
21156,Approved,CITY,Queens,1019679,207028,40.7348497,-73.8721601,11373
21150,Approved,CITY,Brooklyn,1011031,186232,40.6778,-73.9034477,11233
21148,Approved,CITY,Manhattan,991749,212004,40.7485754,-73.9729355,10017
21143,Proposed,CITY,Manhattan,991786,214333,40.7549678,-73.9727994,10017
21141,Approved,CITY,Manhattan,999547,234050,40.8090757,-73.9447417,10027
21140,Approved,CITY,Brooklyn,1012025,185937,40.6769873,-73.8998653,11207
21139,Approved,CITY,Manhattan,981117,197361,40.7083865,-74.0113004,10006
21135,Approved,CITY,Manhattan,988609,210089,40.7433213,-73.9842693,10016
21130,Installed,UTILITY,Bronx,1012406,259888,40.8799618,-73.8981819,10463
21125,Proposed,CITY,Manhattan,995414,218628,40.7667527,-73.9596972,10065
21121,Approved,CITY,Queens,1006137,209421,40.7414618,-73.9210165,11104
21120,Approved,CITY,Queens,1032036,198435,40.7112059,-73.827633,11415
21118,Approved,CITY,Queens,1047114,197945,40.7097667,-73.7732505,11423
21116,Approved,CITY,Queens,1005766,218805,40.7672194,-73.9223253,11102
21115,Approved,CITY,Queens,1057001,192182,40.6938729,-73.7376507,11411
21095,Approved,UTILITY,Queens,1029048,202285,40.7217888,-73.8383853,11375
21093,Approved,UTILITY,Queens,1021838,188628,40.6843372,-73.8644725,11421
21073,Installed,UTILITY,Staten_Island,958078,152069,40.5840317,-74.0942242,10305
21054,Approved,UTILITY,Staten_Island,945302.19,167836.69,40.6272638,-74.1403104,10302
21053,Installed,UTILITY,Queens,1055712,215989,40.7592275,-73.7420462,11362
21034,Approved,UTILITY,Staten_Island,954907,143995,40.5618602,-74.1056053,10306
21033,Approved,UTILITY,Staten_Island,956487,145389,40.5656916,-74.0999246,10306
21017,Approved,UTILITY,Bronx,1023125,257770,40.8741078,-73.859432,10469
21016,Proposed,UTILITY,Bronx,1012010,259725,40.8795157,-73.8996146,10463
21015,Installed,UTILITY,Staten_Island,962419,165289,40.6203297,-74.0786385,10304
21014,Approved,UTILITY,Brooklyn,1013967,187120,40.680228,-73.8928588,11207
21013,Installed,UTILITY,Staten_Island,954390,149925,40.5781352,-74.1074922,10306
21001,Installed,UTILITY,Staten_Island,958999,155313,40.5929385,-74.0909205,10304
21000,Installed,UTILITY,Staten_Island,962196,166929,40.6248306,-74.0794471,10304
20999,Approved,UTILITY,Queens,1031027,195560,40.7033201,-73.8312925,11415
20997,Approved,UTILITY,Queens,1024559,192836,40.6958752,-73.8546365,11421
20996,Approved,UTILITY,Brooklyn,981379,170939,40.6358641,-74.0103442,11220
20994,Installed,UTILITY,Queens,1009790,217405,40.763366,-73.9078036,11103
20992,Installed,UTILITY,Staten_Island,950016,167879,40.6273994,-74.123329,10310
20991,Installed,UTILITY,Staten_Island,956037,150688,40.5802349,-74.1015664,10306
20990,Installed,UTILITY,Staten_Island,954159,147592,40.5717308,-74.1083134,10306
20989,Installed,UTILITY,Staten_Island,959326,154027,40.5894096,-74.0897384,10305
20988,Installed,UTILITY,Staten_Island,939571,161131,40.6088311,-74.1609127,10314
20987,Installed,UTILITY,Staten_Island,960298,164083,40.617014,-74.0862744,10304
20986,Approved,UTILITY,Queens,1022064,190547,40.6896035,-73.8636468,11421
20985,Approved,UTILITY,Queens,1028724,193615,40.6979934,-73.8396114,11418
20984,Approved,UTILITY,Queens,1016323,195385,40.7029053,-73.8843252,11385
20983,Installed,UTILITY,Queens,1053616,187339,40.6806072,-73.7499073,11413
20982,Approved,UTILITY,Queens,1053375,187893,40.6821297,-73.7507705,11413
20981,Installed,UTILITY,Queens,1049130,194012,40.698957,-73.7660168,11412
20979,Installed,UTILITY,Queens,1054486,185175,40.6746607,-73.7467931,11413
20978,Approved,UTILITY,Queens,1049733,190943,40.6905289,-73.763872,11412
20977,Approved,UTILITY,Queens,1044594,211058,40.7457761,-73.7822225,11365
20975,Installed,UTILITY,Bronx,1006166,235949,40.814274,-73.9208253,10455
20974,Installed,UTILITY,Staten_Island,960712,172310,40.6395964,-74.0848118,10301
20973,Proposed,UTILITY,Staten_Island,951363,149472,40.5768811,-74.1183868,10306
20972,Approved,UTILITY,Staten_Island,960306,161298,40.6093697,-74.0862357,10304
20971,Installed,UTILITY,Staten_Island,948087,169183,40.6309709,-74.1302853,10310
20970,Installed,UTILITY,Staten_Island,958866,152940,40.5864247,-74.0913905,10305
20969,Proposed,UTILITY,Staten_Island,965286,164032,40.616886,-74.0683076,10305
20968,Installed,UTILITY,Staten_Island,960409,156563,40.5963734,-74.085848,10305
20967,Installed,UTILITY,Staten_Island,960696,166273,40.6230261,-74.0848484,10304
20965,Installed,UTILITY,Staten_Island,943079,167078,40.6251713,-74.1483148,10303
20964,Installed,UTILITY,Staten_Island,940765,167959,40.6275784,-74.1566565,10303
20963,Installed,UTILITY,Staten_Island,953415,168589,40.6293607,-74.1110873,10310
20962,Installed,UTILITY,Queens,1048084,197306,40.7080058,-73.7697578,11423
20961,Installed,UTILITY,Queens,1048223,200401,40.7164999,-73.7692271,11423
20960,Installed,UTILITY,Queens,1044851,197434,40.7083799,-73.7814177,11432
20959,Installed,UTILITY,Queens,1049871,189922,40.6877255,-73.7633843,11412
20958,Installed,UTILITY,Queens,1053172,199806,40.7148296,-73.7513805,11428
20957,Approved,UTILITY,Queens,1004131,208315,40.7384308,-73.9282588,11101
20956,Proposed,UTILITY,Queens,1000961,214969,40.7567009,-73.9396813,11101
20955,Installed,UTILITY,Queens,1037450,198319,40.7108566,-73.8081054,11432
